,age
2071,1901
2072,1984
2073,1985
2074,1956
2075,1971
2076,1975
2077,1993
2078,1985
2079,1987
2080,2003
2081,2004
2082,2003
2083,2005
2084,2005
2085,1999
2086,2000
2087,1997
2088,2000
2089,2001
2090,1998
2091,2000
2092,2005
2093,2005
2094,1997
2095,2006
2096,1990
2097,2003
2098,1984
2099,1912
2100,1999
2101,1914
2102,1996
2103,2000
2104,1998
2105,2006
2106,1971
2107,2001
2108,1991
2109,2004
2110,2007
2111,1997
2112,2002
2113,2000
2114,1996
2115,2007
2116,2002
2117,2000
2118,1998
2119,2002
2120,2003
2121,1987
2122,1987
2123,1990
2124,2000
2125,2006
2126,1986
2127,1902
2128,1997
2129,1987
2130,1985
2131,2006
2132,2005
2133,1945
2134,2002
2135,2002
2136,2002
2137,1992
2138,2000
2139,2007
2140,1990
2141,2001
2142,1998
2143,2000
2144,1992
2145,1972
2146,1992
2147,1991
2148,1992
2149,1997
2150,1990
2151,1994
2152,1991
2153,1985
2154,1992
2155,1990
2156,1990
2157,1998
2158,1987
2159,1953
2160,2002
2161,1982
2162,1984
2163,1989
2164,1990
2165,2007
2166,1949
2167,1976
2168,1986
2169,1988
2170,2002
2171,2004
2172,2002
2173,2005
2174,2002
2175,2004
2176,2004
2177,2003
2178,2004
2179,2005
2180,2007
2181,2006
2182,2003
2183,2003
2184,2001
2185,2005
2186,2004
2187,1997
2188,2004
2189,2000
2190,2002
2191,2004
2192,1903
2193,2005
2194,1999
2195,2005
2196,2006
2197,2003
2198,1999
2199,2000
2200,2000
2201,2005
2202,2004
2203,1994
2204,2003
2205,2001
2206,1994
2207,1906
2208,2001
2209,2000
2210,1990
2211,2005
2212,2002
2213,1999
2214,1996
2215,1998
2216,2002
2217,1997
2218,1962
2219,2000
2220,1997
2221,1991
2222,1996
2223,2003
2224,2005
2225,1990
2226,1991
2227,1994
2228,1986
2229,1993
2230,1988
2231,1991
2232,1987
2233,1988
2234,1986
2235,1965
2236,1957
2237,1991
2238,1962
2239,1973
2240,1976
2241,2003
2242,1987
2243,1988
2244,1955
2245,1984
2246,1982
2247,2000
2248,1976
2249,2002
2250,2001
2251,2004
2252,2003
2253,2005
2254,1998
2255,2003
2256,2004
2257,2005
2258,1999
2259,2005
2260,1996
2261,2000
2262,1988
2263,2004
2264,2000
2265,2001
2266,2001
2267,2004
2268,2000
2269,2002
2270,2004
2271,2003
2272,2004
2273,1966
2274,2006
2275,2000
2276,2004
2277,2004
2278,2006
2279,1980
2280,1905
2281,1998
2282,2002
2283,1972
2284,2003
2285,2004
2286,2001
2287,2002
2288,2000
2289,1996
2290,1999
2291,2003
2292,2000
2293,2005
2294,1994
2295,1994
2296,1996
2297,1996
2298,2008
2299,1996
2300,1997
2301,1990
2302,1901
2303,1997
2304,1998
2305,1992
2306,2000
2307,1990
2308,2000
2309,1994
2310,1995
2311,2004
2312,2000
2313,2002
2314,2002
2315,1951
2316,1995
2317,1983
2318,1993
2319,2007
2320,1993
2321,2008
2322,1977
2323,1940
2324,1983
2325,1975
