,age
1974,1998
1975,1996
1976,1999
1977,2004
1978,2004
1979,2008
1980,2006
1981,1997
1982,1992
1983,1987
1984,1991
1985,1996
1986,2003
1987,1996
1988,2002
1989,1995
1990,2000
1991,1994
1992,1999
1993,1995
1994,1996
1995,1998
1996,1995
1997,1995
1998,1996
1999,1920
2000,1998
2001,1995
2002,1995
2003,1990
2004,2006
2005,1994
2006,1995
2007,1992
2008,1994
2009,1990
2010,1997
2011,2002
2012,1962
2013,1992
2014,1993
2015,1991
2016,1990
2017,1996
2018,1994
2019,1983
2020,1992
2021,1994
2022,1990
2023,1994
2024,1984
2025,1993
2026,1996
2027,1990
2028,1991
2029,1992
2030,1991
2031,1994
2032,1978
2033,1991
2034,1994
2035,1999
2036,1992
2037,1987
2038,1989
2039,1992
2040,1992
2041,1993
2042,1989
2043,1991
2044,1991
2045,1950
2046,1991
2047,1954
2048,1986
2049,1946
2050,1989
2051,1989
2052,1975
2053,1987
2054,1962
2055,1985
2056,1989
2057,1989
2058,1941
2059,1985
2060,1985
2061,1989
2062,1992
2063,1984
2064,1968
2065,1982
2066,1976
2067,2008
2068,1945
2069,1978
2070,2006
2071,1973
2072,2003
2073,2003
2074,2003
2075,1995
2076,2004
2077,2003
2078,1984
2079,2001
2080,2003
2081,2005
2082,2002
2083,2002
2084,1999
2085,2003
2086,2002
2087,2004
2088,2001
2089,2003
2090,2003
2091,2002
2092,2004
2093,2003
2094,1999
2095,2004
2096,2002
2097,1993
2098,2001
2099,1999
2100,1994
2101,2001
2102,2004
2103,2002
2104,1999
2105,1998
2106,1997
2107,1998
2108,2000
2109,1998
2110,2001
2111,1998
2112,2002
2113,1996
2114,1995
2115,2000
2116,1997
2117,1999
2118,2000
2119,1960
2120,1995
2121,1997
2122,1996
2123,1992
2124,1997
2125,1995
2126,1989
2127,1997
2128,1993
2129,1999
2130,1994
2131,1982
2132,1997
2133,1997
2134,1994
2135,1995
2136,1993
2137,1989
2138,1987
2139,1992
2140,1994
2141,1984
2142,1996
2143,1993
2144,1998
2145,1993
2146,1997
2147,1993
2148,1991
2149,1960
2150,1992
2151,1995
2152,1993
2153,1989
2154,1995
2155,1989
2156,1992
2157,1994
2158,1991
2159,1990
2160,1991
2161,1987
2162,1989
2163,1991
2164,1994
2165,1983
2166,1990
2167,1994
2168,1993
2169,1992
2170,1991
2171,1960
2172,1995
2173,1993
2174,1991
2175,1994
2176,1989
2177,1992
2178,1987
2179,1990
2180,1990
2181,1990
2182,1988
2183,1994
2184,1994
2185,1991
2186,1992
2187,1991
2188,1993
2189,2006
2190,1989
2191,1991
2192,1990
2193,1993
2194,1986
2195,1980
2196,1982
2197,1989
2198,2002
2199,1990
2200,1993
2201,1987
2202,1982
2203,1988
2204,1982
2205,1988
2206,1988
2207,1982
2208,1984
2209,1990
2210,1949
2211,1989
2212,1945
2213,1954
2214,1959
2215,1948
2216,2005
2217,1963
2218,1981
2219,1975
2220,2002
2221,2003
2222,2004
2223,2006
2224,2001
2225,2001
2226,2002
2227,2000
2228,2007
2229,2005
2230,2003
2231,1999
2232,2000
2233,2005
2234,2008
2235,2005
2236,2005
2237,1999
2238,2004
2239,1997
2240,1997
2241,1998
2242,2005
2243,1989
2244,2004
2245,2001
2246,2005
2247,2003
2248,2001
2249,2000
2250,2004
2251,1995
2252,2001
2253,1993
2254,1998
2255,1996
2256,1996
2257,2001
2258,2002
2259,2004
2260,2003
2261,2001
2262,1995
2263,2000
2264,1993
2265,1998
2266,1998
2267,2002
2268,1997
2269,1977
2270,1995
2271,1999
2272,1999
2273,1996
2274,2003
2275,1998
2276,2008
2277,1994
2278,1996
2279,1997
2280,2000
2281,1992
2282,1996
2283,1997
2284,2006
2285,1997
2286,1995
2287,1997
2288,1987
2289,1994
2290,1993
2291,1995
2292,1994
2293,1995
2294,1992
2295,1979
2296,1989
2297,1991
2298,1995
2299,1988
2300,1991
2301,1994
2302,1992
2303,1997
2304,2004
2305,1994
2306,1994
2307,1992
2308,1993
2309,1992
2310,1992
2311,1993
2312,1991
2313,1989
2314,1985
2315,1989
2316,1992
2317,1993
2318,1983
2319,1987
2320,1994
2321,1993
2322,1994
2323,1986
2324,1992
2325,1993
2326,1986
2327,1990
2328,1991
2329,1990
2330,1989
2331,1959
2332,1986
2333,1991
2334,1993
2335,1986
2336,1989
2337,1989
2338,1975
2339,1988
2340,1991
2341,1989
2342,1990
2343,1991
2344,1989
2345,1988
2346,1988
2347,1989
2348,1956
2349,1987
2350,1963
2351,1988
2352,1969
2353,1971
2354,1952
2355,1968
2356,1999
2357,2004
2358,2005
2359,2004
2360,1998
2361,2005
2362,2005
2363,2004
2364,2004
2365,2003
2366,2002
2367,2005
2368,1992
2369,2004
2370,2002
2371,2001
2372,2000
2373,2003
2374,1984
2375,2004
2376,2006
2377,2005
2378,2004
2379,2003
2380,2002
2381,2004
2382,1992
2383,1999
2384,2002
